sentiment,trades,avg_pnl,total_pnl
Extreme Fear,2326,1.8916322231298366,4399.936551
Extreme Greed,5621,205.81634505888633,1156893.675576
Fear,13869,128.28795029591174,1779225.582654
Greed,11292,53.988003244420824,609632.532636
Neutral,2756,27.08880333091437,74656.74198
